Designator,Mid X,Mid Y,Layer,Rotation
C1,54.32,-8.70,Top,0.0
C2,54.32,-6.67,Top,0.0
C3,70.29, 5.11,Top,0.0
C4,16.54,-2.03,Top,0.0
C5,16.51, 6.99,Top,0.0
C6,60.20, 0.32,Top,180.0
C7,12.70,-2.54,Top,0.0
C8,70.29, 4.08,Top,0.0
C9,69.90, 0.47,Top,0.0
C10,69.90,-0.56,Top,0.0
C11,69.90,-1.59,Top,0.0
C12,69.90,-2.62,Top,0.0
C13,69.90,-3.64,Top,0.0
C14,69.90,-4.67,Top,0.0
C15,69.90,-5.70,Top,0.0
C16,69.90,-6.73,Top,0.0
C17,15.16,-8.26,Top,0.0
C20,59.88, 2.22,Top,0.0
C21,55.44, 3.18,Top,180.0
C22,64.25,-7.34,Top,180.0
C23,16.51, 4.45,Top,0.0
C26, 5.08, 8.89,Top,0.0
C27, 2.54, 8.86,Top,180.0
C28, 2.03,10.41,Top,270.0
CHARGING, 2.95,-6.35,Top,270.0
D1, 8.89, 5.08,Top,180.0
D2, 8.89, 6.99,Top,180.0
D3, 9.02, 3.18,Top,180.0
D4,60.21, 6.03,Top,270.0
D5,62.06, 6.03,Top,90.0
D6,58.36, 6.03,Top,270.0
ESP32,39.27,-6.85,Top,90.0
IC3, 5.08,12.70,Top,0.0
IC6,16.13,-6.68,Top,0.0
J2,20.76,16.23,Top,180.0
J4, 6.63, 0.00,Top,270.0
J5,74.70,-0.84,Top,90.0
J6,10.72,-7.49,Top,90.0
J7,28.58, 1.91,Top,90.0
J8,79.60, 0.13,Top,90.0
L1,55.12, 6.67,Top,180.0
LDO,16.51, 1.27,Top,90.0
Q1, 9.73,12.70,Top,90.0
Q2,21.59, 5.71,Top,90.0
Q3,21.41,-0.64,Top,90.0
Q4,70.12, 8.47,Top,90.0
Q5,12.70, 6.35,Top,90.0
Q9,14.61,13.34,Top,270.0
R1, 9.53,14.61,Top,0.0
R2,60.20,-0.95,Top,0.0
R3, 9.98,10.79,Top,180.0
R4,21.59, 1.91,Top,180.0
R5, 8.89,-1.27,Top,0.0
R6,22.10, 3.51,Top,180.0
R7,21.59, 8.26,Top,180.0
R8,70.29, 6.12,Top,0.0
R9,72.61, 9.42,Top,180.0
R10, 5.36,-6.35,Top,180.0
R11,14.58,-4.67,Top,0.0
R13,64.25,-9.40,Top,180.0
R14,64.25,-8.37,Top,0.0
R15, 5.21, 5.71,Top,180.0
R16, 1.91, 5.71,Top,0.0
R17, 8.89, 1.27,Top,180.0
R18, 8.89, 0.00,Top,180.0
RESET,58.78,-9.14,Top,0.0
S1, 5.49,-12.29,Top,0.0
SD_CARD,16.28,-13.65,Top,180.0
U1,12.70, 1.27,Top,90.0
