Comment,Designator,Footprint,LCSC Part #
0.47R,R9,R0402,
1.3M,R14,R0402,
1M,R13,R0402,
1k,R5 R7,R0402,
1uF,C3,C0402K,
1uF,C7,C0603,
1uF,C8 C9 C10 C11 C12 C13 C14 C15 C16,C0402K,
4 7uF,C5,C0603,C108344
4.7uF,C20,C0603,
5.1k,R15 R16,R0402,
5.8A/30V/35mΩ,Q4,SOT23-3,C20917
10k,R1 R2 R3 R8 R11 R17,R0402,
10uF,C21,C0603,
22uF,C4 C23 C26,C0603,
47uF,C2,C0603,C178330
68uH,L1,SMNR4020,C135265
100k,R4 R6 R18,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6,C0402K,
100nF,C17 C22,C0402,
330,R10,R0402,
AFC34-S24FIA-00,J5 J8,AFC34S24FIA00,
AO3401,Q3 Q5,SOT23,
BAT60B,D1 D2 D3,SOD323-R,C514095
CH9102F,IC3,QFN24-4X4,
EN button,RESET,TS1088R02026,C455280
ESP32-WROOM,ESP32,ESP32WROOM32D,C529578
HT7833,LDO,SOT23-5,C164106
JST-SH-2P,J6,1X02_1MM_RA_VERT,C479987
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
JUMPER-SMT_2_NC_TRACE_SILK,ADC ADC-BATT,SMT-JUMPER_2_NC_TRACE_SILK,
MBR0530,D4 D5 D6,SOD123-F,
MMDT3904,Q1,SC70-6,C268586
MOSFET_P-SOT-23,Q9,SOT23,
RED,CHARGING,CHIP-LED0603,C2286
S8050,Q2,SOT23-BEC,
SLIDE_SWITCH_TA-3530A-A2,S1,TA-3530A-A2,C514025
SMF05C,IC6,SOT65P210X110-6N,C558425
TF-123-ARP9H17,SD_CARD,HANBO_TF-027-H300,C5310495
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR_VERT,J7,1X06_1MM_RA_VERT,C145963
X6511WVS-08H-C60D48R2,J1,X6511WVS08HC60D48R2,
X6511WVS-16H-C60D48R1,J3,X6511WVS16HC60D48R2,
